geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number Tested,Children under 6 years with elevated blood lead levels (BLL) Number Tested _NOTES,"Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested_NOTES"
Neighborhood (UHF 42),204,East New York,2,2011,426,,49,,15,,11200,,38.2,,4.4,,1.3,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2007,1432,,112,,41,,11400,,125.8,,9.8,,3.6,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2013,201,,31,,11,*Estimate is based on small numbers so should be interpreted with caution.,11700,,17.2,,2.6,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),310,Lower Manhattan,3,2013,11,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,1600,,6.9,*Estimate is based on small numbers so should be interpreted with caution.,1.9,*Estimate is based on small numbers so should be interpreted with caution.,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2013,309,,57,,23,,12800,,24.2,,4.5,,1.8,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2016,80,,15,,6,*Estimate is based on small numbers so should be interpreted with caution.,4200,,19,,3.6,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),305,Upper East Side,3,2012,51,,4,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,4800,,10.7,,0.8,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),105,Crotona -Tremont,1,2005,1534,,136,,37,,11300,,135.5,,12,,3.3,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2006,405,,47,,19,,4700,,85.8,,10,,4,
Neighborhood (UHF 42),206,Borough Park,2,2012,887,,102,,33,,16900,,52.6,,6,,2,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2011,227,,25,,11,*Estimate is based on small numbers so should be interpreted with caution.,8500,,26.6,,2.9,,1.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2012,162,,18,,7,*Estimate is based on small numbers so should be interpreted with caution.,6900,,23.4,,2.6,,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2015,217,,31,,15,,12400,,17.4,,2.5,,1.2,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2008,147,,3,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,3200,,45.7,,0.9,*Estimate is based on small numbers so should be interpreted with caution.,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,2008,55,,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2600,,20.9,,0.4,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),305,Upper East Side,3,2011,65,,11,*Estimate is based on small numbers so should be interpreted with caution.,5,*Estimate is based on small numbers so should be interpreted with caution.,5000,,13.1,,2.2,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2007,1288,,90,,29,,13300,,97,,6.8,,2.2,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2005,1085,,56,,16,,7500,,144.5,,7.5,,2.1,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2010,52,,4,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2200,,24,,1.8,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
